"School","Scholarship","Gender","Course","Organisation","ScholarshipTemp","CourseTemp"
"Others","Overseas Merit Scholarship","Unknown","Humanities","Others","Local-Overseas Merit Scholarship (Teaching)","Humanities"
"Raffles Institution","SG Government Scholarship","Female","Others","Others","Singapore Government Scholarship (Open)","Law"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Business"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Unknown","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Open)","Law"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Unknown"
"Others","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Others","Overseas Merit Scholarship","Unknown","Humanities","Others","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Raffles Institution","SG Government Scholarship","Female","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","Others","Unknown","Economics","Others","SPF Overseas Scholarship","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Unknown","Humanities","Others","Overseas Merit Scholarship (Teaching)","Humanities"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Business"
"Raffles Institution","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","SAF's Scholarship","Unknown","Others","Others","SAF Overseas Scholarship","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","SG Government Scholarship","Female","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Law"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Unknown"
"Hwa Chong Institution","SG Government Scholarship","Female","Others","Others","Singapore Government Scholarship (Open)","Business"
"Others","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Unknown","Humanities","Others","Local-Overseas Merit Scholarship (Teaching)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Unknown"
"Raffles Institution","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Unknown"
"Others","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Others","SG Government Scholarship","Unknown","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","SAF's Scholarship","Unknown","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","Others","Local-Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Others","Unknown","Others","Others","President's Scholarship","Unknown"
"Raffles Institution","Others","Unknown","Others","Others","President's Scholarship","Law"
"Raffles Institution","Others","Unknown","Economics","Others","President's Scholarship","Economics"
"Anglo Chinese School (Independent)","Others","Unknown","Humanities","Others","President's Scholarship","Humanities"
"Hwa Chong Institution","Others","Female","Humanities","Others","President's Scholarship","Humanities"
"Raffles Institution","Others","Unknown","Others","Others","President's Scholarship","Liberal Arts"
"Others","Others","Unknown","Others","Others","President's Scholarship","History and Politics"
"Others","Others","Unknown","Others","Others","President's Scholarship","Law"
"Raffles Institution","Others","Unknown","Economics","Others","President's Scholarship","Economics"
"Hwa Chong Institution","Others","Unknown","Others","Others","President's Scholarship","Law"
"Others","SAF's Scholarship","Unknown","Engineering","Others","SAF Overseas Scholarship","Aeronautical Engineering"
"Raffles Institution","SAF's Scholarship","Unknown","Science","Others","SAF Overseas Scholarship","Ecology and Environmental Biology"
"Raffles Institution","SAF's Scholarship","Unknown","Others","Others","SAF Overseas Scholarship","History"
"Raffles Institution","SAF's Scholarship","Unknown","Others","Others","SAF Overseas Scholarship","International Relations"
"Others","SAF's Scholarship","Unknown","Others","Others","SAF Overseas Scholarship","Global Affairs"
"Hwa Chong Institution","SAF's Scholarship","Unknown","Others","Others","SAF Overseas Scholarship","Physics"
"Hwa Chong Institution","SAF's Scholarship","Unknown","Science","Others","SAF Overseas Scholarship","Chemistry"
"Others","SAF's Scholarship","Unknown","Engineering","Others","SAF Overseas Scholarship","Mechanical Engineering"
"Others","SAF's Scholarship","Unknown","Science","Others","SAF Overseas Scholarship","Biomedical  Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Electrical & Electronics Engineering"
"Others","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Sociology"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Liberal Arts"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","International Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Physics and Philosophy"
"Victoria Junior College","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Politics and History or Liberal Arts"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Philosophy,  Politics and Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Open)","Political Science and English"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Liberal Arts"
"Others","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Physics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Economics and Management"
"Others","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Economics or Mathematical Economics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","History and Politics"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Health and Society, and Anthropology"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Mathematics/ Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Psychology"
"Others","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Pending"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Open)","Human,  Social & Political Sciences"
"Others","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Geography"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","International Relations"
"Others","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Music"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Land Economy"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Open)","Law"
"Raffles Institution","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Law"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Government"
"Others","SG Government Scholarship","Unknown","Science","Others","Singapore Government Scholarship (Open)","Actuarial Science or Mathematics/ Statistics"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","International Relations"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Law"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Business"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Sociology"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Science","Others","Singapore Government Scholarship (Open)","Chemistry"
"Others","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Unknown","Science","Others","Singapore Government Scholarship (Open)","Computer  Science"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Philosophy,  Politics & Economics/ Economics"
"Raffles Institution","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Victoria Junior College","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Law"
"Others","SG Government Scholarship","Unknown","Science","Others","Singapore Government Scholarship (Open)","Arts and Social Sciences"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Liberal Arts"
"Anglo Chinese School (Independent)","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","International Relations"
"Others","SG Government Scholarship","Unknown","Science","Others","Singapore Government Scholarship (Open)","Social Sciences"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Chemical Engineering"
"Others","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Law"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Law"
"Others","SG Government Scholarship","Unknown","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Science","Others","Singapore Government Scholarship (Open)","Biology"
"Others","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","Business"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Others","Others","Singapore Government Scholarship (Open)","International Relations"
"Anglo Chinese School (Independent)","Others","Unknown","Others","Others","PSC Masters
Scholarship","Master in Public Policy"
"Victoria Junior College","Others","Unknown","Others","Others","PSC Masters
Scholarship","Master in Public Policy"
"Others","Others","Unknown","Others","Others","PSC Masters
Scholarship","Pending"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Foreign Service)","History"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Local-Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service Institution)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service Institution)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service)","Geography"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Specialist)","Mathematics"
"Victoria Junior College","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Teaching)","English Literature"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship (Teaching)","Geography"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Teaching)","Music/ Life Sciences"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Others","Others","Overseas Merit Scholarship","Geography"
